PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FP	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	DL	D2	EA	PG	WC	WE	SC	GA	PM	OA	HC	HP	DA	UT
J	Holland, LP; Dawson, DA; Horsburgh, GJ; Stevens, JR				Holland, Lyndsey P.; Dawson, Deborah A.; Horsburgh, Gavin J.; Stevens, Jamie R.			Isolation and characterization of 11 microsatellite loci from the ubiquitous temperate octocoral Alcyonium digitatum (Linnaeus, 1758)	CONSERVATION GENETICS RESOURCES																															1877-7252	1877-7260				SEP	2013	5	3					767	770		10.1007/s12686-013-9903-y	http://dx.doi.org/10.1007/s12686-013-9903-y													WOS:000322619900040
J	Turner, TL; Miller, PM; Cochrane, VA				Turner, Thomas L.; Miller, Paige M.; Cochrane, Veronica A.			Combining Genome-Wide Methods to Investigate the Genetic Complexity of Courtship Song Variation in Drosophila melanogaster	MOLECULAR BIOLOGY AND EVOLUTION																		Miller, Paige/0000-0002-5419-8601													0737-4038	1537-1719				SEP	2013	30	9					2113	2120		10.1093/molbev/mst111	http://dx.doi.org/10.1093/molbev/mst111								23777628					WOS:000323616600010
J	Dexter, D; Brown, DG				Dexter, Daniel; Brown, Daniel G.			Fast half-sibling population reconstruction: theory and algorithms	ALGORITHMS FOR MOLECULAR BIOLOGY																		Brown, Dan/0000-0002-5205-5762														1748-7188				JUL 12	2013	8								20	10.1186/1748-7188-8-20	http://dx.doi.org/10.1186/1748-7188-8-20								23849037					WOS:000321967900001
J	Wong, A; Rundle, H				Wong, Alex; Rundle, Howard			Selection on the Drosophila seminal fluid protein Acp62F	ECOLOGY AND EVOLUTION																		Rundle, Howard/0000-0002-8288-8888													2045-7758					JUL	2013	3	7					1942	1950		10.1002/ece3.605	http://dx.doi.org/10.1002/ece3.605								23919141					WOS:000322002400010
J	Oyler-McCance, SJ; Fike, JA; Castoe, TA; Tomback, DF; Wunder, MB; Schaming, TD				Oyler-McCance, Sara J.; Fike, Jennifer A.; Castoe, Todd A.; Tomback, Diana F.; Wunder, Michael B.; Schaming, Taza D.			Development and characterization of thirteen microsatellite loci in Clark's nutcracker (Nucifraga columbiana)	CONSERVATION GENETICS RESOURCES																		Oyler-McCance, Sara/0000-0003-1599-8769													1877-7252	1877-7260				JUN	2013	5	2					303	305		10.1007/s12686-012-9789-0	http://dx.doi.org/10.1007/s12686-012-9789-0													WOS:000318293100001
J	Wagner, HH; Murphy, MA; Holderegger, R; Waits, L				Wagner, Helene H.; Murphy, Melanie A.; Holderegger, Rolf; Waits, Lisette			Developing an Interdisciplinary, Distributed Graduate Course for Twenty-First Century Scientists	BIOSCIENCE																	Murphy, Melanie A/D-2605-2009; Wagner, Helene/E-6090-2011	Murphy, Melanie A/0000-0002-6589-8929; Wagner, Helene/0000-0001-6261-5922; Waits, Lisette/0000-0002-1323-0812													0006-3568					FEB	2012	62	2					182	188		10.1525/bio.2012.62.2.11	http://dx.doi.org/10.1525/bio.2012.62.2.11													WOS:000300125000010
J	Lin, K; Li, HP; Schlotterer, C; Futschik, A				Lin, Kao; Li, Haipeng; Schloetterer, Christian; Futschik, Andreas			Distinguishing Positive Selection From Neutral Evolution: Boosting the Performance of Summary Statistics	GENETICS																	Schlötterer, Christian/G-6326-2010; Futschik, Andreas/G-3697-2010; Schlötterer, Christian/Q-5264-2019	Schlötterer, Christian/0000-0003-4710-6526; Futschik, Andreas/0000-0002-7980-0304; Schlötterer, Christian/0000-0003-4710-6526													0016-6731	1943-2631				JAN	2011	187	1					229	244		10.1534/genetics.110.122614	http://dx.doi.org/10.1534/genetics.110.122614								21041556					WOS:000286100900018
J	Theves, C; Balaresque, P; Evdokimova, LE; Timofeev, IV; Alekseev, AN; Sevin, A; Crubezy, E; Gibert, M				Theves, Catherine; Balaresque, Patricia; Evdokimova, Larissa E.; Timofeev, Innokentevich V.; Alekseev, Anatoly N.; Sevin, Andre; Crubezy, Eric; Gibert, Morgane			Population genetics of 17 Y-chromosomal STR loci in Yakutia	FORENSIC SCIENCE INTERNATIONAL-GENETICS																	Gibert, Morgane/K-2906-2014; GIBERT, Morgane/A-1311-2011; Crubézy, Eric/AAB-5165-2022; Alekseev, Anatoliy Nickolaevich/O-1096-2015; BALARESQUE, Patricia/G-3731-2010	Crubézy, Eric/0000-0001-9417-9053; Alekseev, Anatoliy Nickolaevich/0000-0002-9488-573X; theves, catherine/0000-0002-3854-4420; BALARESQUE, Patricia/0000-0003-3516-5537													1872-4973					OCT	2010	4	5					E129	E130		10.1016/j.fsigen.2010.01.018	http://dx.doi.org/10.1016/j.fsigen.2010.01.018								20457087					WOS:000281965600013
J	Kern, AD; Haussler, D				Kern, Andrew D.; Haussler, David			A Population Genetic Hidden Markov Model for Detecting Genomic Regions Under Selection	MOLECULAR BIOLOGY AND EVOLUTION																															0737-4038	1537-1719				JUL	2010	27	7					1673	1685		10.1093/molbev/msq053	http://dx.doi.org/10.1093/molbev/msq053								20185453					WOS:000279872000020
J	Corbett, A; Kauffman, L; Maclaren, B; Wagner, A; Jones, E				Corbett, Albert; Kauffman, Linda; Maclaren, Ben; Wagner, Angela; Jones, Elizabeth			A COGNITIVE TUTOR FOR GENETICS PROBLEM SOLVING: LEARNING GAINS AND STUDENT MODELING	JOURNAL OF EDUCATIONAL COMPUTING RESEARCH																															0735-6331						2010	42	2					219	239		10.2190/EC.42.2.e	http://dx.doi.org/10.2190/EC.42.2.e													WOS:000286796600005
